dataset,miss_rate,method,init,sparsity,n_nearest_features,rmse_0,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_mean,rmse_sd,flops,successes,failures,success_rate,failure_rate
spam,0.2,GAIN,ER,0.99,,0.0536,0.0538,0.0539,0.0539,0.0539,0.0539,0.0539,0.054,0.0541,0.054,0.0539,0.0001265,562,10,7,0.5882,0.4118
spam,0.2,GAIN,ERRW,0.6,,0.0526,0.0527,0.0533,0.0542,0.0543,0.0543,0.0544,0.0544,0.0548,0.055,0.0540,0.0007950,10865,10,7,0.5882,0.4118
spam,0.2,GAIN,ERRW,0.8,,0.0531,0.0538,0.054,0.0542,0.0542,0.0544,0.0544,0.0545,0.0545,0.054,0.0541,0.0004036,5555,10,5,0.6667,0.3333
spam,0.2,GAIN,ERRW,0.9,,0.0537,0.0539,0.0539,0.0541,0.0542,0.0542,0.0544,0.0544,0.0547,0.0553,0.0543,0.0004377,2877,10,3,0.7692,0.2308
spam,0.2,GAIN,ERRW,0.95,,0.0538,0.0539,0.0539,0.054,0.0541,0.0541,0.0541,0.0541,0.0544,0.0544,0.0541,0.0001887,1622,10,3,0.7692,0.2308
spam,0.2,GAIN,ERRW,0.99,,0.0543,0.0543,0.0543,0.0545,0.0547,0.0548,0.0548,0.0549,0.0549,0.055,0.0546,0.0002617,562,10,4,0.7143,0.2857
spam,0.2,GAIN,Random,0.6,,0.0513,0.0519,0.0522,0.0525,0.0526,0.0529,0.0532,0.0533,0.0537,0.054,0.0528,0.0007877,10682,10,14,0.4167,0.5833
spam,0.2,GAIN,Random,0.8,,0.0507,0.0519,0.0525,0.0527,0.0532,0.0532,0.0534,0.0536,0.0537,0.0538,0.0529,0.0009166,5484,10,7,0.5882,0.4118
spam,0.2,GAIN,Random,0.9,,0.0515,0.052,0.0525,0.0527,0.0535,0.0535,0.0537,0.0539,0.0542,0.055,0.0533,0.0010102,2885,10,4,0.7143,0.2857
spam,0.2,GAIN,Random,0.95,,0.0513,0.0518,0.0524,0.0526,0.0531,0.0531,0.0533,0.0535,0.0537,0.0552,0.0530,0.0010266,1585,10,9,0.5263,0.4737
spam,0.2,GAIN,Random,0.99,,0.0506,0.051,0.0528,0.0529,0.0532,0.0534,0.0537,0.0539,0.0539,0.054,0.0529,0.0011439,545,10,7,0.5882,0.4118
spam,0.2,IterativeImputer,,0.0,,0.0509,0.0509,0.0515,0.0518,0.0519,0.0521,0.0523,0.0527,0.0532,0.0547,0.0522,0.0010789,,10,0,1.0000,0.0000
spam,0.2,IterativeImputerRF,,0.0,,0.0465,0.0471,0.0475,0.0475,0.0477,0.0478,0.0482,0.0488,0.049,0.0492,0.0479,0.0008223,,10,0,1.0000,0.0000
